lic,name,entity,address,zip,cd,cb,codes,bakery,prep,sqft,lat,lng,geocoded
768025,Fresh Market Gogo,Fresh Market Gogo Inc,1977 65Th Street,11204,311,BKCB11,A,False,False,,40.61672,-73.98617,False
767988,Carniceria Guatemalteca,Carniceria Guatemalteca Corp,5406 5Th Ave ####,11220,307,BKCB7,A,False,False,,40.64268,-74.01283,False
767798,Eatables,Compilex Corp,443 Kings Highway,11223,311,BKCB11,AC,False,True,2000,40.60433,-73.97359,False
767781,24 Hr Kings Express Deli & Grocery,478 Deli & Grill Corp,478 Kings Hwy,11223,315,BKCB15,AC,False,True,,40.6042,-73.97204,False
767780,Myrtle Ave Fumei Market,Myrtle Ave Fumei Market Inc,1470 Myrtle Ave,11237,304,BKCB4,AC,False,True,,40.69906,-73.9158,False
767710,Eat In Deli Gourmet,Eat In Deli Gourmet Corp,1223 Surf Ave,11224,313,BKCB13,AC,False,True,2000,40.57558,-73.98047,False
767692,A To Z Deli Grocery I,A To Z Deli Grocery I Corp,2301 Stillwell Ave,11223,313,BKCB13,AC,False,True,2500,40.59103,-73.98385,False
767655,Cantonrx Pharmacy,Catonrx Pharmacy Inc,815 Flatbush Avenue ####,11226,314,BKCB14,A,False,False,,40.6526,-73.95925,False
767587,C Town Fresh,5817 Meat & Produce Corp,5817 5Th Avenue,11220,307,BKCB7,AC,False,True,6000,40.64031,-74.0153,False
767583,Pitkin Deli And Brew,Pitkin Deli & Brew Inc,1655 Pitkin Ave,11212,316,BKCB16,AC,False,True,800,40.66949,-73.91213,False
767567,Gourmet Deli,Labone Gourmet Deli Inc,488 Jefferson Ave ##,11221,303,BKCB3,AC,False,True,,40.6846,-73.93851,False
767548,Wise Deli & Grill1,Wise Deli & Grill1 Corp,821 Franklin Ave,11225,309,BKCB9,AC,False,True,,40.6702,-73.95815,False
767541,Jemnic Fastfood & Gyro,Jemnic Fast Food And Gyro Inc,142 Graham Ave ##,11206,301,BKCB1,AC,False,True,1000,40.70635,-73.94305,False
767470,Elegante Deli & Grill,Elegante Deli & Grill Inc,5304 4Th Ave,11220,307,BKCB7,AC,False,True,1800,40.6447,-74.01452,False
767412,Nissan Of Atlantic Enterprises,Nissan Of Atlantic Enterprises Inc,1802 Atlantic Ave ####,11233,308,BKCB8,AC,False,True,,40.67731,-73.93002,False
767402,Dollar Up,Twintree Mart Inc,712 Manhattan Ave,11222,301,BKCB1,A,False,False,2100,40.7258,-73.95194,False
767360,Her Way Deli,Her Way Deli Inc,461 Lincoln Place,11238,308,BKCB8,AC,False,True,1200,40.67219,-73.96084,False
767359,Sesame Trading,Sesame Trading Inc,5202 7Th Ave,11220,307,BKCB7,A,False,False,,40.64123,-74.00716,False
767353,1404 Myrtle Deli,1404 Myrtle Deli Inc,1404 Myrtle Ave,11237,304,BKCB4,AC,False,True,,40.6987,-73.9193,False
767350,Red Hook Fish & Market,Red Hook Fish & Market Inc,1813 Church Ave,11226,314,BKCB14,AC,False,True,1700,40.64962,-73.96264,False
767348,Metro Discount & Convenience,Metro Discount & Convenience Inc,685 Metropolitan Ave,11211,301,BKCB1,AC,False,True,,40.71434,-73.94621,False
767346,Bushwick Deli Bite,Bushwick Deli Bite Corp,1449 Myrtle Ave,11237,304,BKCB4,AC,False,True,,40.69885,-73.91786,False
767297,Andriel Deli & Grocery,Andriel Deli & Grocery Corp,1195 Bushwick Avenue,11221,304,BKCB4,AC,False,True,,40.68845,-73.91629,False
767280,Max Deals,Max Deals Grocery Inc,2120 Rockaway Pkwy ##,11236,318,BKCB18,A,False,False,11000,40.63159,-73.88773,False
767270,Mannan Halal Supermarket,446 Coney Island Inc,446 Coney Island Ave,11218,314,BKCB14,AC,False,True,10000,40.64702,-73.97103,False
767262,Kl Grocery,Kl Grocery Inc,2218 86Th Street,11214,311,BKCB11,A,False,False,500,40.6016,-73.99331,False
767237,Health Choice Pharmacy 2,Kaberx Inc,1633 Surf Ave####,11224,313,BKCB13,A,False,False,,40.57534,-73.98403,False
767212,Rochester Grocery & Grill,Rochester Grocery & Grill Corp,22 Rochester Ave,11233,303,BKCB3,AC,False,True,,40.67831,-73.92745,False
767191,Williamsburgh Organic Deli 2,Williamsburgh Organic Deli 2 Corp,301 Union Avenue,11211,301,BKCB1,A,False,False,,40.70951,-73.95088,False
767187,B&K Super 99C Plus Discount,Everyday Saving Llc,4216 Avenue D ##,11203,317,BKCB17,A,False,False,,40.64171,-73.9364,False
767182,Abbotsford Road Coffee,Abbotsford Road Coffee Specialists Inc,499 Van Brunt St Unit 3A,11231,306,BKCB6,AC,False,True,8000,40.67324,-74.01684,False
767106,Al Badia Halal Meat,Al Badia Halal Meat Corp,4702 3Rd Ave,11220,307,BKCB7,AC,False,True,,40.64935,-74.01306,False
767101,Casa Cugine,Casa Cugine Llc,427 Graham Ave,11211,301,BKCB1,AC,False,True,,40.71775,-73.94491,False
767094,La Autentica Nueva Palma Meat Market,La Autentica Nueva Palma Meat Market Cor,3329 Fulton St,11208,305,BKCB5,AC,False,True,,40.68348,-73.87272,False
767087,Cheese Plate Carrol Gardens,Cheese Plate Carrol Gardens Llc,323 Court St,11231,306,BKCB6,AC,False,True,700,40.68316,-73.9955,False
767050,Aldi #212,Aldi Inc,625 Fulton St,11201,302,BKCB2,A,False,False,,40.68857,-73.98012,False
767014,Cactus Deli,Cactus Deli Grocery Corp,374 Avenue P,11204,311,BKCB11,AC,False,True,1500,40.60874,-73.97371,False
766988,Lucky Grill & Deli,Lucky Grill & Deli Corp,1279 39Th St,11218,312,BKCB12,AC,False,True,,40.64077,-73.9865,False
766965,Key Food,786 Brothers Food Corp,780 Flatbush Ave,11226,314,BKCB14,AC,False,True,7000,40.6538,-73.9595,False
766957,Corner Crave,Corner Crave Corp The,445 Evergreen Ave,11221,304,BKCB4,AC,False,True,,40.69173,-73.91844,False
766953,Deez Mini Market,Deez Mini Market Inc,300 Wyckoff Ave,11237,304,BKCB4,AC,False,True,,40.69886,-73.9106,False
766940,Ainslie Deli,Ainslie Deli Inc,64 Ainslee St ##,11211,301,BKCB1,AC,False,True,,40.71275,-73.95249,False
766915,Sea Town Seafood,Sea Town Seafood Llc,4818 5Th Ave Ste 1L,11220,307,BKCB7,AC,False,True,600,40.64586,-74.00954,False
766901,Walgreens #21344,Walgreen Eastern Co Llc,604 Pacific St,11217,302,BKCB2,A,False,False,,40.68312,-73.977,False
766896,Farmers Fresh Deli,Farmers Fresh Deli Inc,541 Myrtle Ave,11205,302,BKCB2,AC,False,True,,40.6938,-73.96282,False
766870,Food Bazaar,Bogopa East New York Inc,2784 Linden Blvd,11208,305,BKCB5,AC,False,True,69500,40.66944,-73.86184,False
766860,Organic Valley Deli,Organic Valley Deli Inc,400 4Th Ave,11215,306,BKCB6,AC,False,True,,40.6721,-73.98734,False
766858,Wilson Food Market Place,Wilson Food Market Place Corp,625 Wilson Ave,11207,304,BKCB4,AC,False,True,,40.68973,-73.90643,False
766782,262 Love Deli Grocery,262 Love Deli Grocery Corp,262 St Nicholas Ave,11237,304,BKCB4,AC,False,True,,40.70212,-73.912968,True
766776,Ocean Fruit,Kosher Basket Llc,1986 Ocean Ave,11230,314,BKCB14,AC,False,True,,40.61337,-73.95406,False
766741,Rounds Nyc,Rounds Nyc Llc,102 President St ####,11231,306,BKCB6,AC,False,True,800,40.68358,-74.00287,False
766737,El Buen Hombre Grocery,El Buen Hombre Grocery Corp,401 61St Street,11220,307,BKCB7,AC,False,True,600,40.64012,-74.0188,False
766628,Best Place Deli,Best Place Deli Corp The,199 Irving Ave,11237,304,BKCB4,AC,False,True,,40.7015,-73.91877,False
766621,Handmade Gourmet,Handmade Gourmet Llc,225 34Th St,11232,307,BKCB7,AC,False,True,,40.6545,-74.00171,False
766619,Grill & Greens,Grill & Greens Inc,309 7Th Ave,11215,306,BKCB6,AC,False,True,,40.66741,-73.98115,False
766616,Pinsa Mia,Pinsa Mia Llc,32 Taaffe Pl###,11205,303,BKCB3,AC,False,True,5500,40.69798,-73.96099,False
766576,Famous One,Famous One Corp,783 Hicks St,11231,306,BKCB6,AC,False,True,1500,40.67615,-74.00505,False
766556,Bed Stuy Mini Market,Bed Stuy Mini Market Corp,281 Nostrand Ave,11216,303,BKCB3,AC,False,True,,40.68899,-73.95128,False
766555,Ny Riverside Gourmet Deli I,Ny Riverside Gourmet Deli I Corp,322 Union Ave,11211,301,BKCB1,AC,False,True,,40.70997,-73.95095,False
766553,Keyry Bridge Food,Keyry Bridge Food Corp,81 Pulaski St Store 1,11206,303,BKCB3,AC,False,True,,40.69246,-73.94834,False
766545,Lin Lucky Family Grocery,Lin Lucky Family Grocery Inc,4914 8Th Ave ####,11220,312,BKCB12,A,False,False,1000,40.64137,-74.00343,False
766542,Ock Spot Food,Ock Spot Food Corp,5910 Glenwood Rd,11234,318,BKCB18,AC,False,True,,40.63415,-73.91933,False
766539,Sams Bodega,Sams Bodega Corp,67 Underhill Ave,11238,308,BKCB8,AC,False,True,1000,40.6787,-73.96539,False
766471,Mini Deli & Hot Food,Mini Deli & Hot Food Llc,819 Mcdonald Ave,11218,312,BKCB12,AC,False,True,250,40.63399,-73.97778,False
766465,Market Roots,Bkkl 1567 Corp,1567 Fulton St,11216,303,BKCB3,AC,False,True,,40.67977,-73.93861,False
766448,Noor Express Deli & Cafe,Noor Express Deli & Cafe Corp,140 Wortman Ave,11207,305,BKCB5,AC,False,True,,40.65576,-73.88773,False
766429,Carniceria Rosario,Carniceria Rosario Corp,2344 86Th Street,11214,311,BKCB11,AC,False,True,3000,40.59989,-73.99048,False
766426,Pks Express Deli,Pks Express Deli Corp,331 11Th St,11215,306,BKCB6,AC,False,True,1200,40.66783,-73.98701,False
766410,Ocean King,Ocean King Ny Inc,1580 Fulton Street,11213,303,BKCB3,AC,False,True,,40.67973,-73.93756,False
766385,Last Stop Deli Mini Mart,Last Stop Deli Mini Mart Corp,1667 Flatbush Ave,11210,314,BKCB14,AC,False,True,,40.62966,-73.94435,False
766378,Artesanias Iztaccihuatl& Grocery Llc,Juan Azucena Xochimitl,6730 13Th Avenue,11219,310,BKCB10,A,False,False,,40.62426,-74.00331,False
766343,Noor Deli And Minimart,Noor Deli And Minimart Corp,155 Park Ave,11205,302,BKCB2,AC,False,True,,40.69621,-73.9731,False
766340,Corner Bites & Brews,Corner Bites & Brews Corp,9401 Avenue L,11236,318,BKCB18,AC,False,True,,40.63735,-73.89733,False
766330,Go Wasabi,Sushi House Inc,590 Gateway Dr #,11239,305,BKCB5,AC,False,True,100,40.65528,-73.86896,False
766329,Suhail Grill & Deli,Suhail Grill & Deli Corp,276 Wilson Ave ##,11237,304,BKCB4,AC,False,True,,40.69712,-73.91945,False
766291,Alawi Deli & Grocery,Alawi Deli & Grocery Inc,321 Utica Ave,11213,309,BKCB9,AC,False,True,,40.66686,-73.93129,False
766251,Yaya Deli Express,Yaya Deli Express Corp,212 Utica Ave,11213,308,BKCB8,AC,False,True,,40.67167,-73.93085,False
766244,Lucas Deli And Grocery,Lucas Deli And Grocery Corp,4920 Avenue K,11234,318,BKCB18,AC,False,True,,40.62581,-73.9279,False
766238,Happy Basket Mart,Happy Basket Mart Corp,519 Knickerbocker Ave,11221,304,BKCB4,AC,False,True,,40.69762,-73.91627,False
766219,Jia He Xing Grocery,Jia He Xing Grocery Inc,4717 8Th Avenue ####,11220,312,BKCB12,A,False,False,1000,40.64242,-74.00233,False
766198,Garvey Convenience Store,Garvey Convenience Store Corp,315 Marcus Garvey Blvd,11221,303,BKCB3,AC,False,True,,40.6866,-73.93876,False
766191,Lidl #1579,Lus Licensing Llc,490 Fulton St 2Nd Fl,11201,302,BKCB2,AC,False,True,14229,40.68951,-73.98335,False
766170,Selvatore Market Place,Selvatore Market Place Inc,336 Mcguinness Blvd,11222,301,BKCB1,AC,False,True,1100,40.73388,-73.95215,False
766152,Pitkin Bites Deli &Grocery,Pitkin Bites Deli &Grocery Inc,2178 Pitkin Avenue,11207,305,BKCB5,AC,False,True,100,40.67248,-73.89197,False
766121,Corner Candy & Deli,Corner Candy & Deli Corp,597 Flatbush Avenue,11225,309,BKCB9,AC,False,True,,40.65889,-73.96052,False
766112,Las Mesetas Grocery,Las Mesetas Grocery Corp,139 St Nicholas Ave,11237,304,BKCB4,AC,False,True,,40.70506,-73.91747,False
766107,Healthy Taste Deli & Juice Bar,Healthy Taste Deli & Juice Bar Inc,416 Rockaway Ave,11212,316,BKCB16,AC,False,True,,40.66988,-73.91078,False
766103,Smart 2 Deli,Smart 2 Deli Corp,894 Myrtle Ave,11206,303,BKCB3,AC,False,True,,40.69568,-73.94652,False
766100,Qing Xin Grocery,Qing Xin Grocery Inc,5405 6Th Ave Fl1,11220,307,BKCB7,A,False,False,1000,40.64137,-74.01059,False
766097,Floral Fromage,Floral Fromage Llc,117 Grattan St. Ste 117 ##,11237,301,BKCB1,AC,False,True,,40.70621,-73.92819,False
766090,El Badia Meat Market,El Badia Market Inc,4113 2Nd Ave ##,11232,307,BKCB7,A,False,False,,40.65379,-74.01202,False
766084,Foster Sunshine Deli,Foster Sunshine Deli Inc,9201 Foster Ave,11236,318,BKCB18,AC,False,True,1500,40.6457,-73.9098,False
766066,Graham Gardem,359 Graham Foods Inc,359 Graham Ave,11211,301,BKCB1,AC,False,True,,40.71535,-73.94452,False
766044,Mom & Icepops,Eli H Kaplan,61 Meserole Ave,11222,301,BKCB1,AC,False,True,,40.72634,-73.95493,False
766030,I'M Blue,Coastline Fish Inc,270 Marcus Garvey Blvd ##,11221,303,BKCB3,AC,False,True,,40.68797,-73.93904,False
766027,Pulaski Pantry & Deli,Pulaski Pantry & Deli Corp,207 Pulaski St,11206,303,BKCB3,AC,False,True,,40.6931,-73.94271,False
766010,Fresh And Fancy,Fresh And Fancy Corp,285 Utica Ave,11213,309,BKCB9,AC,False,True,,40.66828,-73.93117,False
766006,Mini Market Ii,Mini Market Ii Corp,1737 St Marks Ave,11233,316,BKCB16,AC,False,True,,40.67297,-73.90937,False
765989,Midwest Natural Market,Midwest Natural Market Corp,83 Wilson Ave,11237,304,BKCB4,AC,False,True,,40.70182,-73.92771,False
765977,Yafa Deli Ny,Yafa Deli Ny Corp,374 Ralph Ave,11233,316,BKCB16,AC,False,True,,40.676,-73.92191,False
765932,Grill And Grocery,Grill And Grocery Llc,2226 Surf Ave,11224,313,BKCB13,AC,False,True,1800,40.57404,-73.98957,False
765929,Jes Fish & Seafood,Jes Fish & Seafood Corp,4209 Ave D,11203,317,BKCB17,AC,False,True,,40.64171,-73.9364,False
765925,El Badia Market,El Badia Market Inc,4123 2Nd Ave ##,11232,307,BKCB7,AC,False,True,,40.65401,-74.01178,False
765916,Stop Deli & Grocery,Stop Deli & Grocery Corp,2202 Surf Ave,11224,313,BKCB13,AC,False,True,1500,40.57423,-73.98889,False
765905,Brighton Flaming Grill,Brighton Flaming Grill Inc,1023 Brighton Beach Ave,11235,313,BKCB13,AC,False,True,,40.57821,-73.95855,False
765904,2321 Mini Market,2321 Mini Market Inc,2321 Mermaid Ave,11224,313,BKCB13,AC,False,True,1500,40.57596,-73.99077,False
765884,Z Deli & Grill 2,Z Deli & Grill 2 Incorporated,2835 Coney Island Ave,11235,315,BKCB15,AC,False,True,,40.58748,-73.96036,False
765873,Charro Deli Grocery,Charro Deli Grocery Corp,1789 Linden Blvd,11207,305,BKCB5,AC,False,True,,40.65794,-73.89631,False
765837,Rad Productions,Rad Productions Inc,2914 Coney Island Avenue,11235,313,BKCB13,AC,False,True,,40.58536,-73.96047,False
765836,Fulton Eatery & Grill,Fulton Eatery & Grill Corp,2887 Fulton Street,11207,305,BKCB5,AC,False,True,,40.67889,-73.88801,False
765835,Yafa Flaming Grill,Yafa Flaming Grill Inc,1424 Sheepshead Bay Rd,11235,315,BKCB15,AC,False,True,,40.58743,-73.95444,False
765765,Peace & Love Gourmet Deli,Peace & Love Gourmet Deli Corp,9602 Glenwood Ave ####,11236,318,BKCB18,AC,False,True,1000,40.6447,-73.90299,False
765752,Pitkin Green Deli,Pitkin Green Deli Inc,1577 Pitkin Ave,11212,316,BKCB16,AC,False,True,,40.66904,-73.91515,False
765744,Z & Z Grocery Deli,Z & Z Grocery Deli Corporation,5011 Avenue D,11203,317,BKCB17,AC,False,True,,40.64217,-73.92884,False
765739,Super Fresh,Pakq Corp,3404 Quintin Rd,11234,318,BKCB18,AC,False,True,,40.61383,-73.93803,False
765605,Jefferson Market & Deli,Jefferson Market & Deli Corp,992 Jefferson Ave,11221,303,BKCB3,AC,False,True,,40.68693,-73.91816,False
765592,Bobbys Deli & Grill,Bobbys Deli & Grill Corp,246 Avenue U,11223,311,BKCB11,AC,False,True,1000,40.59677,-73.97524,False
765585,Double A Deli,Double A Deli Corp,1634 Eastern Pkwy ##,11233,316,BKCB16,AC,False,True,,40.67186,-73.91406,False
765583,Brooklyn Cannery,Brooklyn Cannery Llc,215 47Th Street,11220,307,BKCB7,AC,False,True,15000,40.65044,-74.01464,False
765578,Sy Organic Farm,Sy Organic Farm Inc,110 Moore St Ste 14A ##,11206,301,BKCB1,AC,False,True,,40.7039,-73.9411,False
765512,Dacs Grocery,Dacs Grocery Corp,39 Lott Avenue,11212,316,BKCB16,AC,False,True,,40.65722,-73.91259,False
765498,Flatbush Fresh Deli & Grill Ny,Flatbush Fresh Deli & Grill Ny Corp,2123 Churh Ave,11226,314,BKCB14,AC,False,True,700,40.65031,-73.95913,False
765494,438 Putnam Deli,438 Putnam Deli Corp,438 Nostrand Ave,11216,303,BKCB3,AC,False,True,,40.68418,-73.95033,False
765489,Troy Deli Gourmet,Lucio Deli Grocery Corp,73 Troy Avenue,11213,308,BKCB8,AC,False,True,,40.67703,-73.93598,False
765482,Sam Organic Food Corp,Sam Organic Food Corp,1043 Manhattan Ave,11222,301,BKCB1,AC,False,True,900,40.73456,-73.95498,False
765443,Deli Grocery Andrea,Deli Grocery Andrea Corp,7924 16Th Ave ##,11214,311,BKCB11,AC,False,True,3000,40.61356,-74.00367,False
765438,Dyker Deli,Dyker Deli Inc,1238 63Rd St,11219,310,BKCB10,A,False,False,,40.6277,-74.00121,False
765406,740 Fresh Deli & Grocery Inc.,740 Fresh Deli & Grocery Inc,740 4Th Ave,11232,307,BKCB7,AC,False,True,,40.66114,-73.99742,False
765405,Marlboro Deli,Marlboro Deli Corp,2387 Stillwell Avenue,11223,313,BKCB13,AC,False,True,400,40.5892,-73.98383,False
765363,M&R Brothers Deli,M&R Brothers Deli Corp,2255 Bedford Ave,11226,317,BKCB17,AC,False,True,500,40.649,-73.95577,False
765361,Sushi Maru (Inside Key Food),Sushi Maru Express Inc,8772 18Th Ave,11214,311,BKCB11,AC,False,True,500,40.60363,-74.00684,False
765358,Bread&Butter Mini Market,Bread&Butter Mini Market Corp,1118 Pennsylvania Avenue,11207,305,BKCB5,AC,False,True,1000,40.65309,-73.88676,False
765354,Bismillah Supermarket 1,Bismillah Supermarket 1 Inc,1950 Bath Ave Ste 3,11214,311,BKCB11,AC,False,True,2000,40.60176,-74.00211,False
765349,Kayway Deli & Juice Bar,Kayway Deli & Juice Bar Corp,1683 E 16Th Street,11229,315,BKCB15,AC,False,True,1300,40.60852,-73.95729,False
765341,Flatbush Convenience Plus,Flatbush Convenience Plus Inc,2069 Flatbush Ave,11234,318,BKCB18,AC,False,True,,40.61947,-73.93344,False
765331,Upstate Stock,Berry St Goods Llc,2 Berry St #2  ##,11249,301,BKCB1,AC,False,True,,40.72237,-73.95496,False
765325,Organic Gourmet Deli And Grill,Organic Gourmet Deli And Grill Co,3302 Church Avenue,11203,317,BKCB17,AC,False,True,,40.65094,-73.9465,False
765318,Ayman Organic Market,Ayman Organic Market Inc,320 Myrtle Ave,11205,302,BKCB2,AC,False,True,,40.69327,-73.97366,False
765271,M&H Gravesend,M&H Gravesend Inc,1507 Gravesend Neck Rd,11229,315,BKCB15,A,False,False,600,40.59491,-73.95531,False
765265,Ej Organic Market,Ej Organic Market Corp,1218 Myrtle Ave,11221,304,BKCB4,AC,False,True,,40.69762,-73.92953,False
765260,455 Atlantic Deli And Grocery,455 Atlantic Deli And Grocery Corp,455 Atlantic Avenue,11217,302,BKCB2,AC,False,True,900,40.68604,-73.98256,False
765236,Quick Stop Convenience,Quick Stop Convenience And Deli Inc,1452 Myrtle Ave,11237,304,BKCB4,AC,False,True,,40.69897,-73.91673,False
765232,Blake Deli & Grill,Blake Deli & Grill Inc,241 Blake Ave ##,11212,316,BKCB16,AC,False,True,,40.66552,-73.91049,False
765228,Ace Organic Deli,Ace Organic Deli Inc,194 Hoyt Street ##,11217,306,BKCB6,AC,False,True,1100,40.68438,-73.98927,False
765227,Boro Park 99 Cent Discount Hub,Boro Park 99 Cent Discount Hub Inc,3812 13Th Ave,11218,312,BKCB12,A,False,False,1500,40.64097,-73.98593,False
765224,Owen Grill,Owen Grill Corp,409 Saratoga Ave ##,11233,316,BKCB16,AC,False,True,,40.67181,-73.91692,False
765207,Top Deli & Grill,Top Deli & Grill Corp,2143 Nostrand Ave,11210,314,BKCB14,AC,False,True,,40.63292,-73.9477,False
765192,Zee Deli And Grocery,Zee Deli And Grocery Inc,211 Ave M  ##,11230,312,BKCB12,AC,False,True,1200,40.61657,-73.97291,False
765190,Amayas Deli Bites,Amayas Deli Bites Corp,786 New Lots Avenue,11208,305,BKCB5,AC,False,True,,40.6669,-73.88143,False
765186,Sapphire Cafe & Deli 1,Sapphire Cafe & Deli 1 Corp,40 N 4Th St,11249,301,BKCB1,AC,False,True,,40.71825,-73.9629,False
765124,2&5 Flatbush Junction,2&5 Flatbush Junction Corp,1581 Flatbush Ave,11210,314,BKCB14,A,False,False,1200,40.63227,-73.94709,False
765121,Divine Redeemer Deli,Divine Redeemer Deli Corp,716 Knickerbocker Ave,11221,304,BKCB4,AC,False,True,,40.69419,-73.91023,False
765120,Pollo Licey Food Market,Jn Licey Food Market Corp,200 Jamaica Avenue,11207,305,BKCB5,AC,False,True,3000,40.68038,-73.89272,False
765119,Bien Cuit,Bien Cuit Wholesale Llc,120 Smith St,11201,302,BKCB2,ABC,True,True,2500,40.68763,-73.98985,False
765053,Pueblita Deli And Grocery,Pueblita Deli And Grocery Corp,121 Avenue U,11223,311,BKCB11,AC,False,True,1200,40.59626,-73.97986,False
765052,Feras Gourmet Deli,Feras Gourmet Deli Corp,945 Flatbush Ave,11226,314,BKCB14,AC,False,True,700,40.64862,-73.95827,False
765040,Ave J Deli & Grill Zone,Ave J Deli & Grill Zone Inc,1504 Avenue J,11230,314,BKCB14,AC,False,True,2000,40.62521,-73.96118,False
765037,W & M Deli,W & M Deli Corp,1737 E New York,11212,316,BKCB16,AC,False,True,,40.67532,-73.90427,False
765023,Bp,1130 Fuel Corp,1130 Pennsylvania Avenue,11207,305,BKCB5,AC,False,True,800,40.65306,-73.88683,False
765018,E19 Deli & Grocery,E19 Deli & Grocery Inc,1906 Avenue Y,11235,315,BKCB15,AC,False,True,1000,40.59053,-73.9508,False
765006,Alis Deli And Grill 2,Alis Deli And Grill 2 Corp,1638 Coney Island  Ave,11230,314,BKCB14,AC,False,True,,40.6174,-73.96377,False
764991,Tempting Tastes And Gourmet,Tempting Tastes And Gourmet Corp,3323 Ave H,11210,317,BKCB17,AC,False,True,,40.63187,-73.94432,False
764986,Deli Gourmet Juda,Deli Gourmet Juda Inc,143 Central Avenue  ##,11221,304,BKCB4,AC,False,True,,40.6995,-73.92765,False
764977,Eat Good Group,Eat Good Group Inc,5816 7Th Ave ##,11220,307,BKCB7,AC,False,True,1200,40.63762,-74.01093,False
764974,Apni Pharmacy,Apni Pharmacy Corp,211 Neptune Ave,11235,313,BKCB13,A,False,False,,40.58166,-73.96134,False
764973,Healthy Ways Pharmacy,Wattoo Corporation,3170 Coney Island Ave,11235,313,BKCB13,A,False,False,,40.57874,-73.95969,False
764948,Zhang 168,Zhang 168 Inc,816A 56Th Street,11220,312,BKCB12,A,False,False,,40.63752,-74.00683,False
764947,Rugby Grocery,Visions Store Corp.,1325 Foster Ave,11230,314,BKCB14,A,False,False,,40.63362,-73.96402,False
764943,Lenox Deli & Grill,Lenox Deli & Grill Inc,728 Rogers Ave,11226,317,BKCB17,AC,False,True,1000,40.65363,-73.95278,False
764941,Dumont Grocery And Deli Ny,Dumont Grocery And Deli Ny Corp,690 Linwood St,11208,305,BKCB5,AC,False,True,,40.66839,-73.88118,False
764938,Mayar Deli,Mayar Deli Corp,911 E 107Th St,11236,318,BKCB18,AC,False,True,1500,40.64839,-73.89257,False
764923,1066 Alex Deli Food,1066 Alex Deli Food Corp,1066 Rutland Rd,11212,317,BKCB17,AC,False,True,,40.6638,-73.92465,False
764922,Myrtle Wombat,Channel 5 Advisors Llc,581 Myrtle Ave ##,11205,303,BKCB3,AC,False,True,,40.69402,-73.96086,False
764916,Metro Foodcenter,Metro Foodcenter Corp,259 Vandervoort Ave,11211,301,BKCB1,AC,False,True,,40.71458,-73.93354,False
764914,La Patroncita,La Patroncita Corp,1206 Avenue U,11229,315,BKCB15,AC,False,True,600,40.59845,-73.95986,False
764913,Cholitos Plakasitos Deli & Grocery,Cholitos Plakasitos Deli & Grocery Corp,2029 Stillwell Ave,11223,311,BKCB11,AC,False,True,800,40.59703,-73.98509,False
764896,Lidl #1580,Lus Licensing Llc,459 Gateway Dr,11239,305,BKCB5,AC,False,True,18000,40.65206,-73.87079,False
764885,91 Sml Management,91 Sml Management Inc,1389 Broadway ##,11221,303,BKCB3,AC,False,True,,40.68881,-73.9209,False
764884,J And M Deli Grocery Ny,J And M Deli Grocery Ny Inc,605 Sutter Ave,11207,305,BKCB5,AC,False,True,,40.66918,-73.89655,False
764880,One Stop Health Deli & Market,One Stop Health Deli & Market Inc,34 Ralph Ave,11221,303,BKCB3,AC,False,True,,40.68914,-73.92395,False
764871,Don Alex Food Market,Don Alex Food Market Corp,353 Knickerbocker Ave,11237,304,BKCB4,AC,False,True,,40.70082,-73.92189,False
764870,Joy Boy Deli N Grill,Joy Boy Deli N Grill Inc,745 Manhattan Ave,11222,301,BKCB1,AC,False,True,600,40.7265,-73.95233,False
764865,Salt & Pepper Deli & Grill,854 Bushwick Deli Inc,854 Bushwick Ave,11221,304,BKCB4,AC,False,True,,40.69421,-73.9266,False
764859,Riverside Marketplace Ny,Riverside Marketplace Ny Inc,5 Blue Slip ####,11222,301,BKCB1,AC,False,True,,40.73639,-73.95925,False
764852,Tavares Mini Market,Tavares Mini Market Inc,66 Hendrix Street,11207,305,BKCB5,AC,False,True,,40.68076,-73.89139,False
764828,Xin Wan Da Seafood Market,Xin Wan Da Seafood Market Inc,5724 8Th Ave,11220,312,BKCB12,AC,False,True,,40.63671,-74.00826,False
764797,Wholesome Deli,Wholesome Deli Corp,6125 5Th Avenue,11220,307,BKCB7,AC,False,True,1000,40.63843,-74.01726,False
764791,Canarsie Super Express Deli,Canarsie Super Express Deli Inc,9801 Avenue L,11236,318,BKCB18,AC,False,True,1200,40.63939,-73.89415,False
764770,43 Wilson Gourmet Deli,43 Wilson Gourmet Deli Corp,43 Wilson Ave,11237,304,BKCB4,AC,False,True,,40.70268,-73.92922,False
764766,Amr Gourmet Deli,Amr Gourmet Deli Inc,391 King Hwy,11223,311,BKCB11,AC,False,True,900,40.60457,-73.97566,False
764753,Jay Sushi,Jay Sushi Inc,210 Clarkson Ave,11226,317,BKCB17,AC,False,True,100,40.65527,-73.95257,False
764751,Bangla Deli,Bangla Deli Corp,863 Broadway,11206,303,BKCB3,AC,False,True,,40.69849,-73.93797,False
764737,Roshan Super Market,Roshan Super Market Inc,217 Neptune Ave,11235,313,BKCB13,AC,False,True,1500,40.58165,-73.96137,False
764736,Bay Health Pharmacy,Bay Health Pharmacy,64-15 Bay Parkway,11204,310,BKCB10,A,False,False,3000,40.63304,-74.03441,False
